,index,sentyear,district,county,dcnum,count,sentord,order,sex,race,Agecat,statute,offtype,Offense,doff,severity,statmax,attempt,conspir,dngwpn,subwpn,subsex,subdrug,subdwi,subfailr,Subburg,soljuv,solmimp,gangrel,gangrel18,sextrafficking,typecust,cust,tajud,tgross,tweight,histall,history,presumpt,time,Mintime,Maxtime,dconv,countoff,dsent,plea,schap,ssection,ssubd,moc,prison,confine,stayexec,impose,staylnth,lifer,jail,totinc,inctype,condconf,typeprob,cnscurnt,cnsprior,consec,aggsentc,jlname,jfname,dispdep,durdep,cnsdep,reason1,reason2,reason3,reason4,preason1,preason2,preason3,region,presumptlife,presumptlifeid,lifeminmonths,DispType
0,134267,2011,7,14,CR112378,2.0,2.0,1.0,1,2,4,641165220,7,81.0,2011-06-27,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,1,2.0,3.0,3,1,21.0,,,2011-07-25,2,2011-08-29,1,641,165,2(b),X1100,100,21.0,0,0,0.0,0,0,100,1,0.0,0,0,0.0,0,21.0,Vaa,Galen,1,0,0.0,400,0,0,0,0.0,0.0,0.0,4,0,0,0,1
1,134268,2011,9,29,,1.0,1.0,1.0,1,1,3,641165220,7,81.0,2010-11-06,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,2,1.0,1,0,2.0,4.0,4,2,24.0,,,2011-01-12,1,2011-01-12,1,641,165,2(b),X1100,100,24.0,0,0,0.0,0,0,100,1,0.0,0,0,0.0,0,24.0,Tiffany,Robert D.,0,0,0.0,0,0,0,0,0.0,0.0,0.0,4,0,0,0,1
2,134269,2011,10,2,CR112737,1.0,1.0,1.0,1,1,3,629750240,1,39.0,2011-04-14,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-05-25,1,2011-06-24,1,629,75,2(d)(1),N1390,0,0.0,0,1,60.0,0,100,100,2,69.0,1,0,0.0,0,0.0,Pendleton,Alan,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,0,0,3
3,134270,2011,9,11,CR11490,1.0,1.0,1.0,1,3,2,629750240,1,39.0,2010-10-11,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-06-21,1,2011-07-18,1,629,75,2(d)(1),N139K,0,0.0,0,1,60.0,0,100,100,2,90.0,1,0,0.0,0,0.0,Harrington,David F.,0,0,0.0,0,0,0,0,0.0,0.0,0.0,4,0,0,0,3
4,134271,2011,1,19,HACR11180,1.0,1.0,1.0,1,4,2,629750240,1,39.0,2011-01-15,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-04-11,1,2011-06-07,1,629,75,2(d)(1),N1370,0,0.0,0,1,60.0,0,100,100,2,86.0,1,0,0.0,0,0.0,Wermager,Tim D.,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,0,0,3
5,134272,2011,4,27,CR1057170,1.0,1.0,1.0,1,2,2,629750240,1,39.0,2010-12-12,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-01-05,1,2011-01-31,1,629,75,2(d)(1),N139K,0,0.0,0,1,36.0,0,100,100,2,52.0,1,0,0.0,0,0.0,Murphy,Dennis J.,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,3
6,134273,2011,4,27,CR111011,1.0,1.0,1.0,1,2,2,629750240,1,39.0,2011-01-05,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-02-28,1,2011-02-28,1,629,75,2(d)(1),N1390,0,0.0,0,1,36.0,0,100,100,2,51.0,1,0,0.0,0,0.0,Nord,Beryl A.,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,3
7,134274,2011,4,27,CR1112692,2.0,1.0,1.0,1,2,5,629750240,1,39.0,2011-09-14,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-11-30,1,2011-11-30,1,629,75,2(d)(1),A0000,0,0.0,0,1,36.0,0,100,100,2,23.0,1,0,0.0,0,0.0,Wernick,Mark S.,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,3
8,134275,2011,4,27,CR118039,2.0,1.0,1.0,1,1,7,629750240,1,39.0,2011-03-18,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-05-11,1,2011-08-23,1,629,75,2(d)(1),N139J,0,12.0,1,0,24.0,0,100,100,2,70.0,1,0,0.0,0,12.0,Stanoch,John M.,0,3,0.0,70,710,0,0,0.0,0.0,0.0,1,0,0,0,4
9,134276,2011,2,62,,1.0,1.0,1.0,1,2,2,629750240,1,39.0,2011-02-10,4,5.0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,12.03,,,2011-02-28,1,2011-04-28,1,629,75,2(d)(1),N1390,0,0.0,0,1,60.0,0,100,100,2,30.0,1,0,0.0,0,0.0,Stephenson,George T.,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,0,3
